canonical_name,category,synonyms,non_payable,non_payable_reason,bundled_in,max_per_day,ref_price_low,ref_price_high,ref_unit,ref_source
ROOM RENT,room,ROOM RENT,0,,,1,100,5000,INR,DEMO_REFERENCE
ICU CHARGES,room,ICU CHARGES,0,,,1,100,5000,INR,DEMO_REFERENCE
AC ROOM,room,AC ROOM,0,,,1,100,5000,INR,DEMO_REFERENCE
NURSING CHARGES,nursing,NURSING CHARGES,0,,room_rent,1,100,5000,INR,DEMO_REFERENCE
RMO CHARGES,nursing,RMO CHARGES,0,,room_rent,1,100,5000,INR,DEMO_REFERENCE
CARE CHARGES,nursing,CARE CHARGES,0,,room_rent,1,100,5000,INR,DEMO_REFERENCE
CONSULTATION,professional_fee,CONSULTATION,0,,,1,100,5000,INR,DEMO_REFERENCE
SURGEON FEE,professional_fee,SURGEON FEE,0,,,1,100,5000,INR,DEMO_REFERENCE
ANESTHETIST FEE,professional_fee,ANESTHETIST FEE,0,,,1,100,5000,INR,DEMO_REFERENCE
SURGERY,procedure,SURGERY,0,,,,100,5000,INR,DEMO_REFERENCE
OPERATION THEATRE CHARGES,procedure,OPERATION THEATRE CHARGES,0,,,,100,5000,INR,DEMO_REFERENCE
OT CHARGES,procedure,OT CHARGES,0,,,,100,5000,INR,DEMO_REFERENCE
INJ PANTOP 40MG,pharmacy,INJ PANTOP 40MG,0,,,,100,5000,INR,DEMO_REFERENCE
PARACETAMOL 650MG,pharmacy,PARACETAMOL 650MG,0,,,,100,5000,INR,DEMO_REFERENCE
NS 500ML,pharmacy,NS 500ML,0,,,,100,5000,INR,DEMO_REFERENCE
RL 500ML,pharmacy,RL 500ML,0,,,,100,5000,INR,DEMO_REFERENCE
AUGMENTIN 625MG,pharmacy,AUGMENTIN 625MG,0,,,,100,5000,INR,DEMO_REFERENCE
CEFTRIAXONE 1G INJ,pharmacy,CEFTRIAXONE 1G INJ,0,,,,100,5000,INR,DEMO_REFERENCE
PAN 40,pharmacy,PAN 40,0,,,,100,5000,INR,DEMO_REFERENCE
PCM 500,pharmacy,PCM 500,0,,,,100,5000,INR,DEMO_REFERENCE
TAB PCM,pharmacy,TAB PCM,0,,,,100,5000,INR,DEMO_REFERENCE
SYP PCM,pharmacy,SYP PCM,0,,,,100,5000,INR,DEMO_REFERENCE
GLOVES,consumable,GLOVES,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
MASK,consumable,MASK,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
SYRINGE,consumable,SYRINGE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
IV SET,consumable,IV SET,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
COTTON,consumable,COTTON,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
BANDAGE,consumable,BANDAGE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
ADMISSION KIT,consumable,ADMISSION KIT,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
HAND SANITIZER,consumable,HAND SANITIZER,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
THERMOMETER,consumable,THERMOMETER,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
BP CUFF DISPOSABLE,consumable,BP CUFF DISPOSABLE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
TOILETRIES,consumable,TOILETRIES,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
SHOE COVERS,consumable,SHOE COVERS,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
CAPS,consumable,CAPS,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
CBC,investigation,CBC,0,,,,100,5000,INR,DEMO_REFERENCE
X-RAY,investigation,X-RAY,0,,,,100,5000,INR,DEMO_REFERENCE
MRI,investigation,MRI,0,,,,100,5000,INR,DEMO_REFERENCE
CT SCAN,investigation,CT SCAN,0,,,,100,5000,INR,DEMO_REFERENCE
BLOOD SUGAR,investigation,BLOOD SUGAR,0,,,,100,5000,INR,DEMO_REFERENCE
LIPID PROFILE,investigation,LIPID PROFILE,0,,,,100,5000,INR,DEMO_REFERENCE
ECG,investigation,ECG,0,,,,100,5000,INR,DEMO_REFERENCE
KFT,investigation,KFT,0,,,,100,5000,INR,DEMO_REFERENCE
LFT,investigation,LFT,0,,,,100,5000,INR,DEMO_REFERENCE
URINE ROUTINE,investigation,URINE ROUTINE,0,,,,100,5000,INR,DEMO_REFERENCE
STENT,implant,STENT,0,,,,100,5000,INR,DEMO_REFERENCE
SCREW,implant,SCREW,0,,,,100,5000,INR,DEMO_REFERENCE
PLATE,implant,PLATE,0,,,,100,5000,INR,DEMO_REFERENCE
PACEMAKER,implant,PACEMAKER,0,,,,100,5000,INR,DEMO_REFERENCE
REGISTRATION FEE,other,REGISTRATION FEE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
DIET CHARGES,other,DIET CHARGES,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
BIOMEDICAL WASTE,other,BIOMEDICAL WASTE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
SERVICE CHARGE,other,SERVICE CHARGE,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
DIET CHARGES VARIANT 53,other,DIET CHARGES VARIANT 53,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
ROOM RENT VARIANT 54,room,ROOM RENT VARIANT 54,0,,,1,100,5000,INR,DEMO_REFERENCE
RMO CHARGES VARIANT 55,nursing,RMO CHARGES VARIANT 55,0,,room_rent,1,100,5000,INR,DEMO_REFERENCE
ANESTHETIST FEE VARIANT 56,professional_fee,ANESTHETIST FEE VARIANT 56,0,,,1,100,5000,INR,DEMO_REFERENCE
SURGERY VARIANT 57,procedure,SURGERY VARIANT 57,0,,,,100,5000,INR,DEMO_REFERENCE
TAB PCM VARIANT 58,pharmacy,TAB PCM VARIANT 58,0,,,,100,5000,INR,DEMO_REFERENCE
HAND SANITIZER VARIANT 59,consumable,HAND SANITIZER VARIANT 59,1,Commonly listed as non-payable consumable in standard insurer exclusion lists (verify against the official list before production use),,,100,5000,INR,DEMO_REFERENCE
CBC VARIANT 60,investigation,CBC VARIANT 60,0,,,,100,5000,INR,DEMO_REFERENCE
